year,solo,vocal,length,original,tempo,folk,classical,rhythm,jazz,rock,hit
before1950,yes,no,morethan3min,yes,fast,no,no,no,yes,no,yes
before1950,yes,no,morethan3min,yes,slow,no,yes,yes,yes,no,yes
after1950,yes,no,morethan3min,no,slow,yes,no,no,no,no,no
after1950,yes,no,morethan3min,yes,slow,no,no,yes,no,no,no
before1950,yes,no,morethan3min,no,slow,yes,no,no,yes,no,yes
before1950,yes,no,morethan3min,yes,slow,yes,no,no,no,yes,no
before1950,no,no,morethan3min,yes,fast,no,no,yes,yes,no,yes
after1950,yes,yes,morethan3min,yes,fast,no,no,yes,yes,yes,yes
before1950,no,no,morethan3min,no,slow,no,no,yes,yes,no,yes
before1950,yes,yes,morethan3min,no,slow,yes,no,yes,yes,no,yes
before1950,yes,no,lessthan3min,no,slow,no,no,yes,yes,no,yes
after1950,no,no,morethan3min,no,fast,yes,no,yes,yes,yes,yes
before1950,yes,no,morethan3min,no,fast,yes,no,yes,yes,no,yes
before1950,yes,no,morethan3min,yes,fast,no,no,no,yes,no,yes
before1950,yes,no,lessthan3min,no,fast,yes,no,no,yes,no,yes
before1950,yes,no,morethan3min,no,slow,no,no,yes,yes,no,yes
after1950,yes,yes,lessthan3min,yes,slow,no,no,no,yes,no,no
after1950,no,no,morethan3min,no,slow,yes,no,yes,yes,no,no
after1950,yes,no,morethan3min,yes,fast,no,no,no,yes,no,yes
before1950,yes,no,lessthan3min,yes,fast,yes,no,yes,no,yes,no
after1950,no,no,morethan3min,no,slow,no,no,yes,yes,no,yes
before1950,yes,yes,morethan3min,yes,slow,yes,no,no,yes,no,yes
after1950,yes,yes,morethan3min,yes,fast,yes,no,yes,yes,no,no
after1950,yes,no,lessthan3min,no,fast,no,no,yes,yes,no,no
before1950,yes,no,morethan3min,yes,slow,no,yes,no,yes,no,yes
before1950,yes,no,morethan3min,no,fast,no,yes,yes,yes,no,no
before1950,yes,no,lessthan3min,no,fast,no,no,yes,yes,no,yes
before1950,yes,no,morethan3min,no,fast,no,no,yes,yes,no,yes
after1950,yes,no,morethan3min,no,slow,yes,no,yes,yes,no,no
after1950,yes,no,morethan3min,no,fast,no,no,yes,no,no,no
before1950,yes,no,morethan3min,no,fast,no,no,no,yes,no,yes
after1950,yes,yes,lessthan3min,yes,slow,yes,no,no,no,no,no
after1950,yes,yes,morethan3min,yes,slow,yes,no,yes,yes,no,no
after1950,yes,no,morethan3min,yes,fast,no,no,no,no,no,no
after1950,yes,yes,lessthan3min,yes,slow,no,no,no,yes,no,no
before1950,yes,no,morethan3min,yes,fast,no,no,yes,yes,no,yes
after1950,yes,no,morethan3min,yes,slow,yes,no,yes,yes,no,no
after1950,no,no,morethan3min,no,slow,yes,no,yes,yes,no,no
after1950,yes,no,morethan3min,no,slow,no,no,no,yes,yes,yes
before1950,yes,yes,morethan3min,no,slow,no,no,yes,yes,no,yes
after1950,no,yes,morethan3min,no,slow,no,no,yes,yes,yes,yes
before1950,yes,no,lessthan3min,yes,fast,yes,no,yes,yes,no,yes
before1950,yes,yes,morethan3min,no,slow,yes,no,no,yes,no,yes
after1950,yes,no,morethan3min,yes,fast,no,no,no,yes,yes,yes
after1950,yes,yes,morethan3min,yes,slow,no,no,yes,no,no,no
before1950,yes,no,morethan3min,yes,fast,no,no,yes,yes,no,yes
after1950,yes,no,morethan3min,yes,fast,yes,no,no,no,no,no
before1950,yes,no,morethan3min,no,fast,yes,no,no,yes,no,yes
after1950,yes,no,morethan3min,no,slow,yes,no,yes,yes,no,no
after1950,yes,yes,morethan3min,no,slow,yes,no,no,yes,yes,yes
before1950,yes,no,morethan3min,no,fast,no,no,yes,yes,no,yes
after1950,yes,yes,morethan3min,yes,slow,yes,no,yes,yes,no,no
before1950,yes,no,morethan3min,yes,fast,no,no,yes,yes,no,yes
before1950,yes,no,morethan3min,yes,fast,no,no,no,yes,no,yes
after1950,yes,no,morethan3min,yes,slow,no,no,yes,yes,no,no
after1950,yes,no,morethan3min,no,slow,no,no,no,no,no,yes
before1950,yes,no,morethan3min,yes,slow,no,no,yes,yes,no,yes
before1950,yes,no,morethan3min,yes,slow,yes,no,yes,yes,no,yes
after1950,yes,no,lessthan3min,no,slow,yes,no,yes,yes,no,no
after1950,yes,yes,morethan3min,yes,slow,yes,no,no,no,no,no
before1950,yes,no,morethan3min,no,slow,yes,no,no,yes,no,yes
before1950,yes,yes,morethan3min,no,slow,no,no,no,no,yes,no
after1950,no,yes,morethan3min,yes,fast,yes,no,yes,yes,yes,yes
before1950,no,yes,morethan3min,yes,fast,yes,no,no,no,yes,no
after1950,yes,no,morethan3min,yes,slow,yes,no,no,yes,yes,yes
after1950,yes,yes,lessthan3min,yes,fast,no,no,yes,yes,no,no
before1950,yes,no,morethan3min,yes,slow,yes,no,yes,yes,no,yes
before1950,no,no,morethan3min,yes,fast,yes,no,yes,no,yes,yes
before1950,yes,yes,lessthan3min,yes,slow,no,no,no,yes,no,yes
before1950,yes,yes,morethan3min,no,slow,yes,no,no,yes,no,yes
before1950,no,no,morethan3min,no,fast,no,no,yes,yes,no,no
before1950,no,no,morethan3min,yes,fast,no,no,no,no,yes,no
after1950,yes,no,morethan3min,yes,slow,yes,no,no,yes,no,no
after1950,no,no,morethan3min,yes,fast,no,no,no,no,no,no
before1950,no,yes,morethan3min,no,slow,no,no,yes,yes,no,no
before1950,yes,no,morethan3min,no,fast,yes,no,no,yes,no,yes
before1950,no,no,morethan3min,no,slow,no,no,yes,no,yes,no
after1950,yes,no,morethan3min,no,fast,no,no,no,no,yes,yes
before1950,yes,no,lessthan3min,no,slow,no,no,no,yes,no,yes
after1950,yes,yes,morethan3min,yes,slow,yes,no,yes,yes,no,no
after1950,yes,no,morethan3min,yes,fast,no,no,yes,yes,no,no
after1950,yes,no,morethan3min,no,fast,no,no,yes,yes,no,no
after1950,yes,no,morethan3min,yes,fast,no,no,no,yes,yes,yes
before1950,yes,yes,morethan3min,yes,fast,yes,no,no,no,yes,no
after1950,yes,yes,morethan3min,no,fast,yes,no,no,yes,yes,yes
after1950,yes,no,morethan3min,no,fast,yes,no,yes,yes,no,no
after1950,no,no,morethan3min,yes,fast,yes,no,yes,no,no,yes
after1950,no,no,morethan3min,yes,slow,yes,no,no,yes,no,no
after1950,yes,no,morethan3min,no,slow,no,no,no,no,yes,yes
before1950,yes,no,morethan3min,no,slow,yes,no,no,yes,no,yes
before1950,no,no,morethan3min,no,slow,no,no,no,yes,no,yes
before1950,no,no,morethan3min,yes,slow,no,no,yes,yes,no,yes
after1950,no,no,morethan3min,no,fast,no,no,no,yes,yes,yes
after1950,yes,yes,morethan3min,no,fast,no,no,no,yes,yes,yes
before1950,yes,no,morethan3min,yes,slow,yes,no,yes,no,yes,no
after1950,yes,no,morethan3min,no,fast,no,no,yes,yes,no,yes
after1950,yes,no,morethan3min,no,slow,no,no,yes,yes,no,no
before1950,yes,no,morethan3min,yes,slow,yes,no,yes,yes,no,yes
before1950,yes,no,morethan3min,yes,fast,no,no,yes,yes,no,yes
after1950,yes,yes,morethan3min,yes,slow,yes,yes,no,no,no,no
